id_product;sku;name;price;description;description_short
1048;0810;блуза;22.582058;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>A ширина от подмишница до подмишница</td>
<td>48</td>
<td>
<p>50</p>
</td>
<td>52</td>
<td>54</td>
<td>56</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
</td>
<td>64</td>
<td>66</td>
<td>68</td>
<td>70</td>
<td>
<p></p>
<p>72</p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/%D0%B1%D0%BB%D1%83%D0%B7%D0%B0.png"" alt="""" width=""350"" height=""350"" /></p>"
1063;0825;пуловер;25.138518;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td></td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>A ширина от подмишница до подмишница</td>
<td></td>
<td>
<p>50</p>
</td>
<td>52</td>
<td>53</td>
<td>55</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
</td>
<td></td>
<td>68</td>
<td>69</td>
<td>70</td>
<td>
<p></p>
<p>71</p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/%D0%B1%D0%BB%D1%83%D0%B7%D0%B0.png"" alt="""" width=""350"" height=""350"" /></p>"
1077;0839;блуза;24.286364;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td> S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>A ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>58</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
</td>
<td>65</td>
<td>67</td>
<td>69</td>
<td>71</td>
<td>
<p></p>
<p>73</p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%B1%D0%BB%D1%83%D0%B7%D0%B0.png"" alt="""" width=""350"" height=""350"" /></p>"
1117;0877;тениска;19.173446;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td></td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td></td>
<td>
<p>51</p>
</td>
<td>53</td>
<td>55</td>
<td>57</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>
<p></p>
</td>
<td>
<p>69</p>
</td>
<td>70</td>
<td>71</td>
<td>
<p></p>
<p>72</p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
1120;0879;блуза;24.286364;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>51</td>
<td>
<p>53</p>
</td>
<td>55</td>
<td>57</td>
<td>59</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>65</td>
<td>66</td>
<td>67</td>
<td>69</td>
<td>
<p></p>
<p></p>
<p>71</p>
<p></p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%B1%D0%BB%D1%83%D0%B7%D0%B0.png"" alt="""" width=""350"" height=""350"" /></p>"
1130;0888;"тениска с шевица";16.616986;;"<p></p>
<table width=""338"" style=""height:114px;"">
<tbody>
<tr>
<td>Размери в см</td>
<td>S</td>
<td>M</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
<td>3XL</td>
<td>4XL</td>
<td>5XL</td>
<td>6XL</td>
</tr>
<tr>
<td>
<p>А ширина от подмишница</p>
<p>до подмишница</p>
</td>
<td>50</td>
<td>52</td>
<td>54</td>
<td>56</td>
<td>58</td>
<td>60</td>
<td>63</td>
<td>65</td>
<td>68</td>
</tr>
<tr>
<td>B дължина от рамо</td>
<td>66</td>
<td>68</td>
<td>70</td>
<td>71</td>
<td>72</td>
<td>72</td>
<td>74</td>
<td>76</td>
<td>78</td>
</tr>
</tbody>
</table>
<p></p>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
1144;0902;"тениска с яка";26.416747;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>M</td>
<td>
<p>L</p>
</td>
<td>XL</td>
<td>XXL</td>
<td>XXXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>57</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>68</td>
<td>69</td>
<td>70</td>
<td>71</td>
<td>
<p>72</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
1153;0911;тениска;16.616986;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>58</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>66</td>
<td>68</td>
<td>70</td>
<td>72</td>
<td>
<p></p>
<p></p>
<p>74</p>
<p></p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
1154;0912;тениска;19.173446;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>M</td>
<td>
<p> L</p>
</td>
<td>XL</td>
<td>XXL</td>
<td>XXXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>49</td>
<td>
<p>51</p>
</td>
<td>53</td>
<td>55</td>
<td>57</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>70</td>
<td>72</td>
<td>74</td>
<td>76</td>
<td>
<p>78</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
1207;0962;тениска;16.616986;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>58</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>66</td>
<td>68</td>
<td>70</td>
<td>72</td>
<td>
<p></p>
<p></p>
<p>74</p>
<p></p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
