id_product;id_product_attribute;variant_sku;quantity;attributes
1580;7151;;0;"Размер: L | Цвят: син"
1580;7152;;0;"Размер: XL | Цвят: син"
1580;7153;;0;"Размер: 2XL | Цвят: син"
1583;7172;;0;"Цвят: бял | Размер: S"
1583;7173;;0;"Размер: М | Цвят: бял"
1583;7174;;0;"Цвят: бял | Размер: L"
1583;7175;;0;"Размер: XL | Цвят: бял"
1583;7176;;0;"Размер: 2XL | Цвят: бял"
1586;7187;;0;"Цвят: тъмнозелен | Размер: S"
1586;7188;;0;"Размер: М | Цвят: тъмнозелен"
1586;7189;;0;"Цвят: тъмнозелен | Размер: L"
1586;7190;;0;"Цвят: тъмнозелен | Размер: XL"
1586;7191;;0;"Цвят: тъмнозелен | Размер: 2XL"
1587;7192;;0;"Цвят: бял | Размер: S"
1587;7193;;0;"Размер: М | Цвят: бял"
1587;7194;;0;"Цвят: бял | Размер: L"
1587;7195;;0;"Цвят: бял | Размер: XL"
1587;7196;;3;"Цвят: бял | Размер: 2XL"
1592;7197;;0;"Размер: М | Цвят: тъмнобордо"
1592;7198;;0;"Цвят: тъмнобордо | Размер: L"
1592;7199;;0;"Цвят: тъмнобордо | Размер: XL"
1592;7200;;0;"Размер: 2XL | Цвят: тъмнобордо"
1600;7249;;0;"Цвят: бордо | Размер: М"
1600;7250;;0;"Размер: L | Цвят: бордо"
1600;7251;;0;"Размер: XL | Цвят: бордо"
1600;7252;;0;"Размер: 2XL | Цвят: бордо"
1604;7267;;0;"Размер: S | Цвят: черен"
1604;7268;;0;"Цвят: черен | Размер: М"
1604;7269;;0;"Размер: L | Цвят: черен"
1604;7270;;0;"Размер: XL | Цвят: черен"
1604;7271;;0;"Размер: 2XL | Цвят: черен"
1606;7277;;1;"Размер: S | Цвят: черен"
1606;7278;;0;"Цвят: черен | Размер: М"
1606;7279;;0;"Размер: L | Цвят: черен"
1606;7280;;1;"Размер: XL | Цвят: черен"
1606;7281;;0;"Цвят: черен | Размер: 2XL"
1607;7312;;1;"Размер: S"
1607;7313;;0;"Размер: М"
1607;7314;;0;"Размер: L"
1612;7307;;0;"Размер: М"
1612;7308;;0;"Размер: L"
1612;7309;;0;"Размер: XL"
1612;7310;;0;"Размер: 2XL"
1614;7282;;0;"Цвят: черен | Размер: S"
1614;7283;;0;"Цвят: черен | Размер: М"
1614;7284;;0;"Цвят: черен | Размер: L"
1614;7285;;0;"Размер: XL | Цвят: черен"
1614;7286;;0;"Размер: 2XL | Цвят: черен"
1615;7315;;0;"Цвят: бял | Размер: S"
1615;7316;;0;"Размер: М | Цвят: бял"
1615;7317;;0;"Цвят: бял | Размер: L"
1615;7318;;0;"Размер: XL | Цвят: бял"
1615;7320;;2;"Размер: 2XL | Цвят: бял"
1617;7326;;0;"Цвят: бял | Размер: S"
1617;7327;;0;"Цвят: бял | Размер: М"
1617;7328;;0;"Цвят: бял | Размер: L"
1617;7329;;1;"Цвят: бял | Размер: XL"
1617;7330;;0;"Цвят: бял | Размер: 2XL"
1618;7331;;0;"Цвят: черен | Размер: S"
1618;7332;;0;"Размер: М | Цвят: черен"
1618;7333;;0;"Цвят: черен | Размер: L"
1618;7334;;0;"Цвят: черен | Размер: XL"
1618;7335;;0;"Размер: 2XL | Цвят: черен"
1620;7340;;0;"Цвят: черен | Размер: М"
1620;7341;;0;"Размер: L | Цвят: черен"
1620;7342;;0;"Размер: XL | Цвят: черен"
1620;7343;;0;"Размер: 2XL | Цвят: черен"
1621;7348;;0;"Цвят: бял | Размер: S"
1621;7349;;0;"Размер: М | Цвят: бял"
1621;7350;;0;"Размер: L | Цвят: бял"
1621;7351;;0;"Цвят: бял | Размер: XL"
1621;7352;;2;"Цвят: бял | Размер: 2XL"
1626;7368;;0;"Размер: S | Цвят: бял"
1626;7369;;0;"Цвят: бял | Размер: М"
1626;7370;;0;"Размер: L | Цвят: бял"
